applicant_id,english,chinese,social,total
117,12,11,7,30
118,12,9,10,31
119,10,10,9,29
120,11,11,11,33
121,11,10,6,27
122,11,12,12,35
123,7,10,8,25
124,10,9,12,31
125,6,10,13,29
126,10,12,14,36
127,9,12,10,31
128,8,9,7,24
129,7,12,7,26
130,11,10,8,29
131,8,10,11,29
132,14,9,8,31
133,11,9,14,34
134,9,14,9,32
135,11,10,9,30
136,6,5,12,23
137,14,12,11,37
138,10,12,9,31
139,12,12,9,33
140,7,10,7,24
141,10,12,11,33
142,10,12,12,34
143,14,10,9,33
144,11,9,11,31
145,10,11,13,34
146,9,9,11,29
147,9,12,11,32
148,11,6,13,30
149,10,10,11,31
150,5,14,7,26
151,13,8,9,30
152,13,12,15,40
153,8,8,12,28
154,11,8,14,33
155,7,12,13,32
156,12,5,7,24
157,9,10,8,27
158,11,13,10,34
159,12,9,12,33
160,12,11,10,33
161,7,12,12,31
162,14,8,7,29
163,9,7,11,27
164,6,10,8,24
165,11,8,14,33
166,10,7,12,29
167,13,8,11,32
168,13,5,6,24
169,9,11,12,32
170,14,11,12,37
171,9,10,11,30
172,11,6,5,22
173,9,9,8,26
174,14,10,8,32
175,8,10,9,27
176,6,11,10,27
177,10,10,10,30
178,15,11,13,39
179,13,12,11,36
180,12,10,11,33
181,13,12,10,35
182,13,12,12,37
183,11,6,11,28
184,9,11,12,32
185,12,11,11,34
186,11,13,11,35
187,10,7,14,31
188,7,11,8,26
189,12,10,11,33
190,9,9,10,28
191,14,10,9,33
192,9,8,9,26
193,8,7,7,22
194,13,8,11,32
195,8,9,11,28
196,8,11,7,26
197,11,10,11,32
198,13,11,9,33
199,8,12,9,29
200,9,11,10,30
201,12,11,14,37
202,15,7,12,34
203,10,13,11,34
204,8,9,6,23
205,5,9,13,27
206,9,7,10,26
207,8,8,7,23
208,12,6,11,29
209,8,6,13,27
210,10,14,9,33
211,12,8,8,28
212,11,9,14,34
213,8,12,11,31
214,12,14,10,36
215,12,9,9,30
216,12,10,9,31
217,8,8,7,23
218,8,7,8,23
219,14,9,10,33
220,10,9,7,26
221,9,11,6,26
222,10,12,11,33
223,11,13,12,36
224,14,12,8,34
225,9,10,10,29
226,14,9,8,31
227,6,7,8,21
228,11,8,15,34
229,11,11,13,35
230,7,12,10,29
231,8,8,12,28
232,10,9,13,32
233,14,14,10,38
234,11,10,10,31
235,14,9,13,36
236,12,14,11,37
237,10,11,11,32
238,12,12,10,34
239,5,11,10,26
240,7,12,14,33
241,13,8,11,32
242,12,13,10,35
243,9,7,12,28
244,11,7,11,29
245,11,10,12,33
246,13,10,13,36
247,11,10,11,32
248,10,9,11,30
249,10,7,14,31
250,10,10,7,27
251,11,12,13,36
252,13,10,13,36
253,10,11,7,28
254,9,8,12,29
255,9,8,7,24
256,12,10,11,33
257,13,7,9,29
258,7,12,10,29
259,7,8,10,25
260,11,10,10,31
261,8,9,8,25
262,13,8,8,29
263,9,11,10,30
264,8,9,6,23
265,14,8,11,33
266,8,10,9,27
267,9,10,9,28
268,8,9,11,28
269,7,15,11,33
270,5,13,10,28
271,7,5,10,22
272,8,10,12,30
273,6,14,9,29
274,11,10,9,30
275,12,7,7,26
276,10,8,13,31
277,9,11,12,32
278,10,13,15,38
279,13,11,9,33
280,13,9,14,36
281,6,11,8,25
282,8,11,8,27
283,9,8,7,24
284,9,8,12,29
285,11,9,11,31
286,10,9,12,31
287,6,12,10,28
288,10,7,14,31
289,11,7,8,26
290,7,11,13,31
291,13,8,13,34
292,6,13,10,29
293,14,9,8,31
294,7,11,11,29
295,13,9,10,32
296,13,14,7,34
297,15,9,10,34
298,12,14,6,32
299,12,12,7,31
300,11,12,9,32
301,12,12,6,30
302,8,8,9,25
303,11,8,7,26
304,11,5,12,28
305,13,10,9,32
306,10,11,10,31
307,10,8,10,28
308,11,12,8,31
309,9,9,11,29
310,8,8,12,28
311,10,12,7,29
312,10,9,12,31
313,9,7,12,28
314,10,7,10,27
315,10,7,9,26
316,9,12,9,30
317,10,8,8,26
318,12,7,10,29
319,9,10,13,32
320,14,11,10,35
321,14,8,7,29
322,10,12,8,30
323,9,12,10,31
324,11,8,6,25
325,13,9,12,34
326,11,12,13,36
327,12,14,11,37
328,11,7,13,31
329,11,11,13,35
330,9,10,10,29
331,12,10,7,29
332,8,12,12,32
333,12,8,8,28
334,13,10,10,33
335,8,8,8,24
336,11,11,7,29
337,7,11,8,26
338,12,9,12,33
339,7,10,8,25
340,14,10,8,32
341,8,8,11,27
342,14,12,11,37
343,12,13,13,38
344,11,10,9,30
345,12,12,9,33
346,12,13,8,33
347,14,11,7,32
348,9,9,6,24
349,11,10,9,30
350,7,11,8,26
351,11,11,8,30
352,8,10,11,29
353,11,9,9,29
354,11,9,11,31
355,10,11,11,32
356,11,7,7,25
357,12,11,9,32
358,12,13,11,36
359,10,12,13,35
360,11,10,11,32
361,14,9,12,35
362,8,6,10,24
363,8,5,10,23
364,7,10,10,27
365,11,13,9,33
366,10,9,13,32
367,12,11,12,35
368,12,3,11,26
369,9,12,12,33
370,13,13,9,35
371,12,11,9,32
372,9,9,12,30
373,10,7,8,25
374,9,11,11,31
375,8,9,13,30
376,8,9,9,26
377,14,10,8,32
378,10,10,10,30
379,10,8,10,28
380,12,9,13,34
381,11,8,13,32
382,14,10,8,32
383,12,12,8,32
384,10,12,8,30
385,10,8,7,25
386,15,10,12,37
387,12,9,9,30
388,14,11,11,36
389,8,6,7,21
390,13,9,14,36
391,11,12,5,28
392,8,6,14,28
393,11,10,8,29
394,12,7,10,29
395,5,9,9,23
396,10,11,7,28
397,13,8,9,30
398,9,10,12,31
399,10,11,9,30
400,10,10,11,31
401,9,11,7,27
402,14,8,9,31
403,12,12,8,32
404,7,13,9,29
405,15,13,8,36
406,13,11,11,35
407,9,10,9,28
408,13,9,7,29
409,7,12,11,30
410,15,14,10,39
411,11,14,8,33
412,11,12,12,35
413,7,10,12,29
414,13,13,8,34
415,6,8,10,24
416,9,8,9,26
417,8,8,15,31
418,12,11,14,37
419,8,12,10,30
420,14,7,6,27
421,11,13,8,32
422,6,9,13,28
423,4,10,12,26
424,6,13,9,28
425,11,10,12,33
426,12,13,14,39
427,9,8,8,25
428,13,9,13,35
429,7,6,10,23
430,12,13,13,38
431,14,9,10,33
432,12,11,11,34
433,12,8,10,30
434,13,9,8,30
435,6,10,11,27
436,8,12,12,32
437,8,7,9,24
438,10,13,15,38
439,12,10,10,32
440,11,11,12,34
441,13,9,14,36
442,8,9,12,29
443,12,10,7,29
444,8,11,14,33
445,9,9,12,30
446,12,9,6,27
447,15,9,11,35
448,11,10,15,36
449,7,3,12,22
450,11,11,8,30
451,6,10,15,31
452,13,11,14,38
453,12,9,6,27
454,8,10,12,30
455,7,10,13,30
456,8,11,9,28
457,15,9,11,35
458,10,11,9,30
459,12,12,10,34
460,11,11,15,37
461,11,9,11,31
462,8,9,7,24
463,14,11,7,32
464,9,11,6,26
465,11,9,12,32
466,12,8,10,30
467,11,12,11,34
468,14,10,11,35
469,8,9,9,26
470,10,14,12,36
471,10,9,9,28
472,10,11,13,34
473,8,6,9,23
474,8,8,9,25
475,9,10,7,26
476,9,11,8,28
477,10,10,8,28
478,11,10,14,35
479,11,11,13,35
480,10,9,11,30
481,10,9,10,29
482,9,5,12,26
483,11,10,8,29
484,9,11,12,32
485,6,9,13,28
486,10,9,13,32
487,10,11,13,34
488,9,7,8,24
489,11,9,11,31
490,11,9,9,29
491,12,8,11,31
492,11,12,11,34
493,11,12,13,36
494,9,11,12,32
495,12,12,11,35
496,11,8,11,30
497,10,10,9,29
498,11,11,11,33
499,10,6,13,29
500,11,5,8,24
