english,chinese,history,total,count
14,6,14,34,7
14,6,13,33,13
14,6,12,32,21
14,6,11,31,23
14,6,10,30,26
14,6,9,29,22
14,6,8,28,16
14,6,7,27,12
14,6,6,26,7
14,6,5,25,6
14,6,4,24,3
14,6,3,23,1
14,5,15,34,2
14,5,14,33,4
14,5,13,32,8
14,5,12,31,12
14,5,11,30,14
14,5,10,29,15
14,5,9,28,13
14,5,8,27,9
14,5,7,26,7
14,5,6,25,4
14,5,5,24,3
14,5,4,23,2
14,4,15,33,1
14,4,14,32,3
14,4,13,31,5
14,4,12,30,7
14,4,11,29,8
14,4,10,28,9
14,4,9,27,8
14,4,8,26,6
14,4,7,25,4
14,4,6,24,3
14,4,5,23,2
14,4,4,22,1
14,3,15,32,1
14,3,14,31,2
14,3,13,30,3
14,3,12,29,5
14,3,11,28,6
14,3,10,27,7
14,3,9,26,6
14,3,8,25,4
14,3,7,24,3
14,3,6,23,2
14,3,5,22,1
14,3,4,21,1
14,2,14,30,1
14,2,13,29,2
14,2,12,28,3
14,2,11,27,4
14,2,10,26,4
14,2,9,25,4
14,2,8,24,3
14,2,7,23,2
14,2,6,22,1
14,2,5,21,1
13,15,15,43,3
13,15,14,42,7
13,15,13,41,13
13,15,12,40,21
13,15,11,39,23
13,15,10,38,26
13,15,9,37,21
13,15,8,36,16
13,15,7,35,12
13,15,6,34,7
13,15,5,33,6
13,15,4,32,3
13,15,3,31,1
13,14,15,42,7
13,14,14,41,17
13,14,13,40,30
13,14,12,39,47
13,14,11,38,54
13,14,10,37,59
13,14,9,36,49
13,14,8,35,37
13,14,7,34,28
13,14,6,33,17
13,14,5,32,13
13,14,4,31,6
13,14,3,30,2
13,13,15,41,14
13,13,14,40,33
13,13,13,39,59
13,13,12,38,95
13,13,11,37,107
13,13,10,36,118
13,13,9,35,99
13,13,8,34,75
13,13,7,33,56
13,13,6,32,34
13,13,5,31,26
13,13,4,30,13
13,13,3,29,3
13,12,15,40,20
13,12,14,39,49
13,12,13,38,88
13,12,12,37,140
13,12,11,36,157
13,12,10,35,173
13,12,9,34,145
13,12,8,33,110
13,12,7,32,82
13,12,6,31,50
13,12,5,30,38
13,12,4,29,19
13,12,3,28,5
13,12,2,27,1
13,11,15,39,24
13,11,14,38,58
13,11,13,37,103
13,11,12,36,165
13,11,11,35,186
13,11,10,34,204
13,11,9,33,172
13,11,8,32,130
13,11,7,31,97
13,11,6,30,59
13,11,5,29,45
13,11,4,28,22
13,11,3,27,5
13,11,2,26,1
13,10,15,38,23
13,10,14,37,54
13,10,13,36,98
13,10,12,35,156
13,10,11,34,176
13,10,10,33,193
13,10,9,32,162
13,10,8,31,123
13,10,7,30,91
13,10,6,29,55
13,10,5,28,43
13,10,4,27,21
13,10,3,26,5
13,10,2,25,1
13,9,15,37,18
13,9,14,36,43
13,9,13,35,78
13,9,12,34,124
13,9,11,33,140
13,9,10,32,154
13,9,9,31,129
13,9,8,30,98
13,9,7,29,73
13,9,6,28,44
13,9,5,27,34
13,9,4,26,17
13,9,3,25,4
13,8,15,36,12
13,8,14,35,29
13,8,13,34,53
13,8,12,33,84
13,8,11,32,95
13,8,10,31,104
13,8,9,30,88
13,8,8,29,66
13,8,7,28,49
13,8,6,27,30
13,8,5,26,23
13,8,4,25,11
13,8,3,24,3
13,7,15,35,7
13,7,14,34,17
13,7,13,33,31
13,7,12,32,50
13,7,11,31,56
13,7,10,30,62
13,7,9,29,52
13,7,8,28,39
13,7,7,27,29
13,7,6,26,18
13,7,5,25,14
13,7,4,24,7
13,7,3,23,2
13,6,15,34,4
13,6,14,33,10
13,6,13,32,18
13,6,12,31,28
13,6,11,30,32
13,6,10,29,35
13,6,9,28,30
13,6,8,27,22
13,6,7,26,17
13,6,6,25,10
13,6,5,24,8
13,6,4,23,4
13,6,3,22,1
13,5,15,33,2
13,5,14,32,6
13,5,13,31,10
13,5,12,30,16
13,5,11,29,18
13,5,10,28,20
13,5,9,27,17
13,5,8,26,13
13,5,7,25,10
13,5,6,24,6
13,5,5,23,4
13,5,4,22,2
13,5,3,21,1
13,4,15,32,1
13,4,14,31,3
13,4,13,30,6
13,4,12,29,10
13,4,11,28,11
13,4,10,27,12
13,4,9,26,10
13,4,8,25,8
13,4,7,24,6
13,4,6,23,3
13,4,5,22,3
13,4,4,21,1
13,3,15,31,1
13,3,14,30,3
13,3,13,29,5
13,3,12,28,7
13,3,11,27,8
13,3,10,26,9
13,3,9,25,8
13,3,8,24,6
13,3,7,23,4
13,3,6,22,3
13,3,5,21,2
13,3,4,20,1
13,2,15,30,1
13,2,14,29,2
13,2,13,28,3
13,2,12,27,5
13,2,11,26,5
13,2,10,25,6
13,2,9,24,5
13,2,8,23,4
13,2,7,22,3
13,2,6,21,2
13,2,5,20,1
13,2,4,19,1
12,15,15,42,3
12,15,14,41,8
12,15,13,40,14
12,15,12,39,22
12,15,11,38,25
12,15,10,37,27
12,15,9,36,23
12,15,8,35,17
12,15,7,34,13
12,15,6,33,8
12,15,5,32,6
12,15,4,31,3
12,15,3,30,1
12,14,15,41,7
12,14,14,40,18
12,14,13,39,32
12,14,12,38,51
12,14,11,37,57
12,14,10,36,63
12,14,9,35,53
12,14,8,34,40
12,14,7,33,30
12,14,6,32,18
12,14,5,31,14
12,14,4,30,7
12,14,3,29,2
12,13,15,40,15
12,13,14,39,36
12,13,13,38,64
12,13,12,37,102
12,13,11,36,115
12,13,10,35,126
12,13,9,34,106
12,13,8,33,80
12,13,7,32,60
12,13,6,31,36
12,13,5,30,28
12,13,4,29,14
12,13,3,28,3
12,12,15,39,22
12,12,14,38,52
12,12,13,37,94
12,12,12,36,150
12,12,11,35,169
12,12,10,34,186
12,12,9,33,156
12,12,8,32,118
12,12,7,31,88
12,12,6,30,53
12,12,5,29,41
12,12,4,28,20
12,12,3,27,5
12,12,2,26,1
12,11,15,38,26
12,11,14,37,62
12,11,13,36,111
12,11,12,35,177
12,11,11,34,199
12,11,10,33,219
12,11,9,32,184
12,11,8,31,140
12,11,7,30,104
12,11,6,29,63
12,11,5,28,48
12,11,4,27,24
12,11,3,26,6
12,11,2,25,1
12,10,15,37,25
12,10,14,36,58
12,10,13,35,105
12,10,12,34,167
12,10,11,33,188
12,10,10,32,207
12,10,9,31,174
12,10,8,30,132
12,10,7,29,98
12,10,6,28,59
12,10,5,27,46
12,10,4,26,22
12,10,3,25,6
12,10,2,24,1
12,9,15,36,20
12,9,14,35,47
12,9,13,34,83
12,9,12,33,133
12,9,11,32,150
12,9,10,31,165
12,9,9,30,139
12,9,8,29,105
12,9,7,28,78
12,9,6,27,47
12,9,5,26,36
12,9,4,25,18
12,9,3,24,4
12,8,15,35,13
12,8,14,34,31
12,8,13,33,56
12,8,12,32,90
12,8,11,31,102
12,8,10,30,112
12,8,9,29,94
12,8,8,28,71
12,8,7,27,53
12,8,6,26,32
12,8,5,25,25
12,8,4,24,12
12,8,3,23,3
12,7,15,34,8
12,7,14,33,19
12,7,13,32,34
12,7,12,31,53
12,7,11,30,60
12,7,10,29,66
12,7,9,28,56
12,7,8,27,42
12,7,7,26,31
12,7,6,25,19
12,7,5,24,15
12,7,4,23,7
12,7,3,22,2
12,6,15,33,4
12,6,14,32,11
12,6,13,31,19
12,6,12,30,30
12,6,11,29,34
12,6,10,28,38
12,6,9,27,32
12,6,8,26,24
12,6,7,25,18
12,6,6,24,11
12,6,5,23,8
12,6,4,22,4
12,6,3,21,1
12,5,15,32,3
12,5,14,31,6
12,5,13,30,11
12,5,12,29,18
12,5,11,28,20
12,5,10,27,22
12,5,9,26,18
12,5,8,25,14
12,5,7,24,10
12,5,6,23,6
12,5,5,22,5
12,5,4,21,2
12,5,3,20,1
12,4,15,31,2
12,4,14,30,4
12,4,13,29,7
12,4,12,28,11
12,4,11,27,12
12,4,10,26,13
12,4,9,25,11
12,4,8,24,8
12,4,7,23,6
12,4,6,22,4
12,4,5,21,3
12,4,4,20,1
12,3,15,30,1
12,3,14,29,3
12,3,13,28,5
12,3,12,27,8
12,3,11,26,9
12,3,10,25,10
12,3,9,24,8
12,3,8,23,6
12,3,7,22,5
12,3,6,21,3
12,3,5,20,2
12,3,4,19,1
12,2,15,29,1
12,2,14,28,2
12,2,13,27,3
12,2,12,26,5
12,2,11,25,6
12,2,10,24,6
12,2,9,23,5
12,2,8,22,4
12,2,7,21,3
12,2,6,20,2
12,2,5,19,1
12,2,4,18,1
11,15,15,41,3
11,15,14,40,8
11,15,13,39,14
11,15,12,38,22
11,15,11,37,25
11,15,10,36,28
11,15,9,35,23
11,15,8,34,18
11,15,7,33,13
11,15,6,32,8
11,15,5,31,6
11,15,4,30,3
11,15,3,29,1
11,14,15,40,8
11,14,14,39,18
11,14,13,38,32
11,14,12,37,51
11,14,11,36,58
11,14,10,35,64
11,14,9,34,54
11,14,8,33,41
11,14,7,32,30
11,14,6,31,18
11,14,5,30,14
11,14,4,29,7
11,14,3,28,2
11,13,15,39,15
11,13,14,38,36
11,13,13,37,64
11,13,12,36,103
11,13,11,35,116
11,13,10,34,127
11,13,9,33,107
11,13,8,32,81
11,13,7,31,60
11,13,6,30,37
11,13,5,29,28
11,13,4,28,14
11,13,3,27,3
11,12,15,38,22
11,12,14,37,53
11,12,13,36,95
11,12,12,35,151
11,12,11,34,170
11,12,10,33,187
11,12,9,32,158
11,12,8,31,119
11,12,7,30,89
11,12,6,29,54
11,12,5,28,41
11,12,4,27,20
11,12,3,26,5
11,12,2,25,1
11,11,15,37,26
11,11,14,36,62
11,11,13,35,112
11,11,12,34,179
11,11,11,33,201
11,11,10,32,221
11,11,9,31,186
11,11,8,30,141
11,11,7,29,105
11,11,6,28,64
11,11,5,27,49
11,11,4,26,24
11,11,3,25,6
11,11,2,24,1
11,10,15,36,25
11,10,14,35,59
11,10,13,34,106
11,10,12,33,169
11,10,11,32,190
11,10,10,31,209
11,10,9,30,176
11,10,8,29,133
11,10,7,28,99
11,10,6,27,60
11,10,5,26,46
11,10,4,25,23
11,10,3,24,6
11,10,2,23,1
11,9,15,35,20
11,9,14,34,47
11,9,13,33,84
11,9,12,32,134
11,9,11,31,152
11,9,10,30,167
11,9,9,29,140
11,9,8,28,106
11,9,7,27,79
11,9,6,26,48
11,9,5,25,37
11,9,4,24,18
11,9,3,23,4
11,8,15,34,13
11,8,14,33,32
11,8,13,32,57
11,8,12,31,91
11,8,11,30,103
11,8,10,29,113
11,8,9,28,95
11,8,8,27,72
11,8,7,26,53
11,8,6,25,32
11,8,5,24,25
11,8,4,23,12
11,8,3,22,3
11,7,15,33,8
11,7,14,32,19
11,7,13,31,34
11,7,12,30,54
11,7,11,29,61
11,7,10,28,67
11,7,9,27,56
11,7,8,26,43
11,7,7,25,32
11,7,6,24,19
11,7,5,23,15
11,7,4,22,7
11,7,3,21,2
11,6,15,32,5
11,6,14,31,11
11,6,13,30,19
11,6,12,29,31
11,6,11,28,35
11,6,10,27,38
11,6,9,26,32
11,6,8,25,24
11,6,7,24,18
11,6,6,23,11
11,6,5,22,8
11,6,4,21,4
11,6,3,20,1
11,5,15,31,3
11,5,14,30,6
11,5,13,29,11
11,5,12,28,18
11,5,11,27,20
11,5,10,26,22
11,5,9,25,19
11,5,8,24,14
11,5,7,23,10
11,5,6,22,6
11,5,5,21,5
11,5,4,20,2
11,5,3,19,1
11,4,15,30,2
11,4,14,29,4
11,4,13,28,7
11,4,12,27,11
11,4,11,26,12
11,4,10,25,13
11,4,9,24,11
11,4,8,23,8
11,4,7,22,6
11,4,6,21,4
11,4,5,20,3
11,4,4,19,1
11,3,15,29,1
11,3,14,28,3
11,3,13,27,5
11,3,12,26,8
11,3,11,25,9
11,3,10,24,10
11,3,9,23,8
11,3,8,22,6
11,3,7,21,5
11,3,6,20,3
11,3,5,19,2
11,3,4,18,1
11,2,15,28,1
11,2,14,27,2
11,2,13,26,3
11,2,12,25,5
11,2,11,24,6
11,2,10,23,6
11,2,9,22,5
11,2,8,21,4
11,2,7,20,3
11,2,6,19,2
11,2,5,18,1
11,2,4,17,1
10,15,15,40,3
10,15,14,39,7
10,15,13,38,13
10,15,12,37,21
10,15,11,36,24
10,15,10,35,26
10,15,9,34,22
10,15,8,33,17
10,15,7,32,12
10,15,6,31,8
10,15,5,30,6
10,15,4,29,3
10,15,3,28,1
10,14,15,39,7
10,14,14,38,17
10,14,13,37,31
10,14,12,36,49
10,14,11,35,55
10,14,10,34,61
10,14,9,33,51
10,14,8,32,39
10,14,7,31,29
10,14,6,30,17
10,14,5,29,13
10,14,4,28,7
10,14,3,27,2
10,13,15,38,14
10,13,14,37,34
10,13,13,36,62
10,13,12,35,98
10,13,11,34,111
10,13,10,33,122
10,13,9,32,102
10,13,8,31,77
10,13,7,30,58
10,13,6,29,35
10,13,5,28,27
10,13,4,27,13
10,13,3,26,3
10,12,15,37,21
10,12,14,36,51
10,12,13,35,91
10,12,12,34,145
10,12,11,33,163
10,12,10,32,179
10,12,9,31,151
10,12,8,30,114
10,12,7,29,85
10,12,6,28,51
10,12,5,27,40
10,12,4,26,19
10,12,3,25,5
10,12,2,24,1
10,11,15,36,25
10,11,14,35,60
10,11,13,34,107
10,11,12,33,171
10,11,11,32,192
10,11,10,31,212
10,11,9,30,178
10,11,8,29,135
10,11,7,28,100
10,11,6,27,61
10,11,5,26,47
10,11,4,25,23
10,11,3,24,6
10,11,2,23,1
10,10,15,35,24
10,10,14,34,56
10,10,13,33,101
10,10,12,32,161
10,10,11,31,182
10,10,10,30,200
10,10,9,29,168
10,10,8,28,127
10,10,7,27,95
10,10,6,26,57
10,10,5,25,44
10,10,4,24,22
10,10,3,23,5
10,10,2,22,1
10,9,15,34,19
10,9,14,33,45
10,9,13,32,81
10,9,12,31,129
10,9,11,30,145
10,9,10,29,159
10,9,9,28,134
10,9,8,27,101
10,9,7,26,75
10,9,6,25,46
10,9,5,24,35
10,9,4,23,17
10,9,3,22,4
10,8,15,33,13
10,8,14,32,30
10,8,13,31,55
10,8,12,30,87
10,8,11,29,98
10,8,10,28,108
10,8,9,27,91
10,8,8,26,69
10,8,7,25,51
10,8,6,24,31
10,8,5,23,24
10,8,4,22,12
10,8,3,21,3
10,7,15,32,8
10,7,14,31,18
10,7,13,30,32
10,7,12,29,52
10,7,11,28,58
10,7,10,27,64
10,7,9,26,54
10,7,8,25,41
10,7,7,24,30
10,7,6,23,18
10,7,5,22,14
10,7,4,21,7
10,7,3,20,2
10,6,15,31,4
10,6,14,30,10
10,6,13,29,18
10,6,12,28,29
10,6,11,27,33
10,6,10,26,36
10,6,9,25,31
10,6,8,24,23
10,6,7,23,17
10,6,6,22,10
10,6,5,21,8
10,6,4,20,4
10,6,3,19,1
10,5,15,30,2
10,5,14,29,6
10,5,13,28,11
10,5,12,27,17
10,5,11,26,19
10,5,10,25,21
10,5,9,24,18
10,5,8,23,13
10,5,7,22,10
10,5,6,21,6
10,5,5,20,5
10,5,4,19,2
10,5,3,18,1
10,4,15,29,1
10,4,14,28,4
10,4,13,27,6
10,4,12,26,10
10,4,11,25,11
10,4,10,24,13
10,4,9,23,11
10,4,8,22,8
10,4,7,21,6
10,4,6,20,4
10,4,5,19,3
10,4,4,18,1
10,3,15,28,1
10,3,14,27,3
10,3,13,26,5
10,3,12,25,8
10,3,11,24,9
10,3,10,23,10
10,3,9,22,8
10,3,8,21,6
10,3,7,20,5
10,3,6,19,3
10,3,5,18,2
10,3,4,17,1
10,2,15,27,1
10,2,14,26,2
10,2,13,25,3
10,2,12,24,5
10,2,11,23,5
10,2,10,22,6
10,2,9,21,5
10,2,8,20,4
10,2,7,19,3
10,2,6,18,2
10,2,5,17,1
10,2,4,16,1
9,15,15,39,3
9,15,14,38,7
9,15,13,37,13
9,15,12,36,21
9,15,11,35,23
9,15,10,34,25
9,15,9,33,21
9,15,8,32,16
9,15,7,31,12
9,15,6,30,7
9,15,5,29,6
9,15,4,28,3
9,15,3,27,1
9,14,15,38,7
9,14,14,37,17
9,14,13,36,30
9,14,12,35,47
9,14,11,34,53
9,14,10,33,59
9,14,9,32,49
9,14,8,31,37
9,14,7,30,28
9,14,6,29,17
9,14,5,28,13
9,14,4,27,6
9,14,3,26,2
9,13,15,37,14
9,13,14,36,33
9,13,13,35,59
9,13,12,34,95
9,13,11,33,107
9,13,10,32,117
9,13,9,31,98
9,13,8,30,75
9,13,7,29,55
9,13,6,28,34
9,13,5,27,26
9,13,4,26,13
9,13,3,25,3
9,12,15,36,20
9,12,14,35,49
9,12,13,34,87
9,12,12,33,139
9,12,11,32,157
9,12,10,31,173
9,12,9,30,145
9,12,8,29,110
9,12,7,28,82
9,12,6,27,50
9,12,5,26,38
9,12,4,25,19
9,12,3,24,5
9,12,2,23,1
9,11,15,35,24
9,11,14,34,57
9,11,13,33,103
9,11,12,32,164
9,11,11,31,185
9,11,10,30,204
9,11,9,29,171
9,11,8,28,130
9,11,7,27,96
9,11,6,26,58
9,11,5,25,45
9,11,4,24,22
9,11,3,23,5
9,11,2,22,1
9,10,15,34,23
9,10,14,33,54
9,10,13,32,97
9,10,12,31,155
9,10,11,30,175
9,10,10,29,192
9,10,9,28,162
9,10,8,27,123
9,10,7,26,91
9,10,6,25,55
9,10,5,24,42
9,10,4,23,21
9,10,3,22,5
9,10,2,21,1
9,9,15,33,18
9,9,14,32,43
9,9,13,31,78
9,9,12,30,124
9,9,11,29,140
9,9,10,28,153
9,9,9,27,129
9,9,8,26,98
9,9,7,25,73
9,9,6,24,44
9,9,5,23,34
9,9,4,22,17
9,9,3,21,4
9,8,15,32,12
9,8,14,31,29
9,8,13,30,52
9,8,12,29,84
9,8,11,28,94
9,8,10,27,104
9,8,9,26,87
9,8,8,25,66
9,8,7,24,49
9,8,6,23,30
9,8,5,22,23
9,8,4,21,11
9,8,3,20,3
9,7,15,31,7
9,7,14,30,17
9,7,13,29,31
9,7,12,28,50
9,7,11,27,56
9,7,10,26,62
9,7,9,25,52
9,7,8,24,39
9,7,7,23,29
9,7,6,22,18
9,7,5,21,14
9,7,4,20,7
9,7,3,19,2
9,6,15,30,4
9,6,14,29,10
9,6,13,28,18
9,6,12,27,28
9,6,11,26,32
9,6,10,25,35
9,6,9,24,30
9,6,8,23,22
9,6,7,22,17
9,6,6,21,10
9,6,5,20,8
9,6,4,19,4
9,6,3,18,1
9,5,15,29,2
9,5,14,28,6
9,5,13,27,10
9,5,12,26,16
9,5,11,25,18
9,5,10,24,20
9,5,9,23,17
9,5,8,22,13
9,5,7,21,10
9,5,6,20,6
9,5,5,19,4
9,5,4,18,2
9,5,3,17,1
9,4,15,28,1
9,4,14,27,3
9,4,13,26,6
9,4,12,25,10
9,4,11,24,11
9,4,10,23,12
9,4,9,22,10
9,4,8,21,8
9,4,7,20,6
9,4,6,19,3
9,4,5,18,3
9,4,4,17,1
9,3,15,27,1
9,3,14,26,3
9,3,13,25,5
9,3,12,24,7
9,3,11,23,8
9,3,10,22,9
9,3,9,21,8
9,3,8,20,6
9,3,7,19,4
9,3,6,18,3
9,3,5,17,2
9,3,4,16,1
9,2,15,26,1
9,2,14,25,2
9,2,13,24,3
9,2,12,23,5
9,2,11,22,5
9,2,10,21,6
9,2,9,20,5
9,2,8,19,4
9,2,7,18,3
9,2,6,17,2
9,2,5,16,1
9,2,4,15,1
8,15,15,38,3
8,15,14,37,7
8,15,13,36,13
8,15,12,35,20
8,15,11,34,23
8,15,10,33,25
8,15,9,32,21
8,15,8,31,16
8,15,7,30,12
8,15,6,29,7
8,15,5,28,5
8,15,4,27,3
8,15,3,26,1
8,14,15,37,7
8,14,14,36,16
8,14,13,35,29
8,14,12,34,46
8,14,11,33,52
8,14,10,32,57
8,14,9,31,48
8,14,8,30,36
8,14,7,29,27
8,14,6,28,16
8,14,5,27,13
8,14,4,26,6
8,14,3,25,2
8,13,15,36,13
8,13,14,35,32
8,13,13,34,58
8,13,12,33,92
8,13,11,32,104
8,13,10,31,114
8,13,9,30,96
8,13,8,29,73
8,13,7,28,54
8,13,6,27,33
8,13,5,26,25
8,13,4,25,12
8,13,3,24,3
8,12,15,35,20
8,12,14,34,47
8,12,13,33,85
8,12,12,32,135
8,12,11,31,153
8,12,10,30,168
8,12,9,29,141
8,12,8,28,107
8,12,7,27,79
8,12,6,26,48
8,12,5,25,37
8,12,4,24,18
8,12,3,23,5
8,12,2,22,1
8,11,15,34,23
8,11,14,33,56
8,11,13,32,100
8,11,12,31,160
8,11,11,30,180
8,11,10,29,198
8,11,9,28,167
8,11,8,27,126
8,11,7,26,94
8,11,6,25,57
8,11,5,24,44
8,11,4,23,21
8,11,3,22,5
8,11,2,21,1
8,10,15,33,22
8,10,14,32,53
8,10,13,31,95
8,10,12,30,151
8,10,11,29,170
8,10,10,28,187
8,10,9,27,157
8,10,8,26,119
8,10,7,25,88
8,10,6,24,54
8,10,5,23,41
8,10,4,22,20
8,10,3,21,5
8,10,2,20,1
8,9,15,32,18
8,9,14,31,42
8,9,13,30,75
8,9,12,29,120
8,9,11,28,136
8,9,10,27,149
8,9,9,26,125
8,9,8,25,95
8,9,7,24,71
8,9,6,23,43
8,9,5,22,33
8,9,4,21,16
8,9,3,20,4
8,8,15,31,12
8,8,14,30,28
8,8,13,29,51
8,8,12,28,81
8,8,11,27,92
8,8,10,26,101
8,8,9,25,85
8,8,8,24,64
8,8,7,23,48
8,8,6,22,29
8,8,5,21,22
8,8,4,20,11
8,8,3,19,3
8,7,15,30,7
8,7,14,29,17
8,7,13,28,30
8,7,12,27,48
8,7,11,26,54
8,7,10,25,60
8,7,9,24,50
8,7,8,23,38
8,7,7,22,28
8,7,6,21,17
8,7,5,20,13
8,7,4,19,6
8,7,3,18,2
8,6,15,29,4
8,6,14,28,10
8,6,13,27,17
8,6,12,26,28
8,6,11,25,31
8,6,10,24,34
8,6,9,23,29
8,6,8,22,22
8,6,7,21,16
8,6,6,20,10
8,6,5,19,8
8,6,4,18,4
8,6,3,17,1
8,5,15,28,2
8,5,14,27,6
8,5,13,26,10
8,5,12,25,16
8,5,11,24,18
8,5,10,23,20
8,5,9,22,17
8,5,8,21,13
